Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90
139,Jon Aramburu,ve VEN,DF,DF,Real Sociedad,es La Liga,23,2002,35,31,2773,30.8,1,0,1,1,0,0,11,0,0.03,0,0.03,0.03,0.03
140,Juan Arango,ve VEN,MF,MF,Girona,es La Liga,19,2006,2,0,18,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Ronald Araújo,uy URU,DF,DF,Barcelona,es La Liga,26,1999,24,11,1071,11.9,3,0,3,3,0,0,2,0,0.25,0,0.25,0.25,0.25
142,Carlens Arcus,ht HAI,DF,DF,Angers,fr Ligue 1,29,1996,26,24,2040,22.7,0,3,3,0,0,0,7,0,0,0.13,0.13,0,0.13
143,Antonio Arena,it ITA,FW,FW,Roma,it Serie A,16,2009,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Alphonse Areola,fr FRA,GK,GK,West Ham,eng Premier League,32,1993,20,20,1800,20,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05
145,Jesús Areso,es ESP,DF,DF,Athletic Club,es La Liga,26,1999,26,14,1506,16.7,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06
146,Jeremy Arévalo,ec ECU,FW,FW,Stuttgart,de Bundesliga,20,2005,7,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Paul Argney,fr FRA,GK,GK,Le Havre,fr Ligue 1,19,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Iñigo Arguibide,es ESP,DF,DF,Osasuna,es La Liga,20,2005,6,2,187,2.1,0,0,0,0,0,0,0,1,0,0,0,0,0
149,Jhon Arias,co COL,FWMF,FW,Wolves,eng Premier League,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08
150,Juan Arizala,co COL,MF,MF,Udinese,it Serie A,19,2005,10,1,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Adam Armstrong,eng ENG,FWMF,FW,Wolves,eng Premier League,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24
152,Harrison Armstrong,eng ENG,MF,MF,Everton,eng Premier League,18,2007,13,6,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Maximilian Arnold,de GER,MF,MF,Wolfsburg,de Bundesliga,31,1994,25,20,1859,20.7,1,4,5,1,0,0,5,0,0.05,0.19,0.24,0.05,0.24
154,Tolu Arokodare,ng NGA,FW,FW,Wolves,eng Premier League,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25
