Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
524,Pep Chavarría,es ESP,DF,DF,Rayo Vallecano,es La Liga,27,1998,29.8,6,1,1,33,35,3,95,32,31,0
525,Arthur Chaves,br BRA,DF,DF,Hoffenheim,de Bundesliga,24,2001,2.7,1,0,0,5,3,0,2,3,5,0
526,Arthur Chaves,br BRA,DF,DF,Augsburg,de Bundesliga,24,2001,9.2,1,0,0,8,8,0,1,8,13,1
527,Felipe Chávez,pe PER,MF,MF,Bayern Munich,de Bundesliga,18,2007,0.2,0,0,0,0,0,0,1,0,0,0
528,Felipe Chávez,pe PER,MF,MF,Köln,de Bundesliga,18,2007,1.1,0,0,0,1,1,0,1,2,2,0
529,Walid Cheddira,ma MAR,FW,FW,Sassuolo,it Serie A,27,1998,2.5,1,0,0,7,9,1,4,0,0,0
530,Walid Cheddira,ma MAR,FW,FW,Lecce,it Serie A,27,1998,11.1,2,0,0,20,25,10,4,1,3,0
531,Chema,es ESP,MF,MF,Stuttgart,de Bundesliga,20,2005,14.6,5,0,0,20,8,1,0,31,16,0
532,Samir Chergui,dz ALG,DF,DF,Paris FC,fr Ligue 1,26,1999,12.8,1,0,0,14,4,1,6,13,12,0
533,Sidiki Cherif,fr FRA,FWMF,FW,Angers,fr Ligue 1,18,2006,12.9,3,0,0,15,16,11,6,6,3,0
534,Rayan Cherki,fr FRA,MF,MF,Manchester City,eng Premier League,21,2003,19.8,1,0,0,18,34,1,80,7,16,0
535,Lucas Chevalier,fr FRA,GK,GK,PSG,fr Ligue 1,23,2001,17,0,0,0,0,1,0,0,0,0,0
536,Fabio Chiarodia,it ITA,DF,DF,Gladbach,de Bundesliga,20,2005,7.5,1,0,0,8,1,0,0,13,9,0
537,Federico Chiesa,it ITA,MF,MF,Liverpool,eng Premier League,27,1997,3.8,3,0,0,11,7,2,17,4,5,0
538,Ben Chilwell,eng ENG,DFMF,DF,Strasbourg,fr Ligue 1,28,1996,17.8,4,0,0,14,22,4,30,22,17,0
539,Tawanda Chirewa,zw ZIM,MF,MF,Wolves,eng Premier League,21,2003,0.3,0,0,0,3,1,0,0,0,0,0
540,Joris Chotard,fr FRA,MF,MF,Brest,fr Ligue 1,23,2001,30.8,2,0,0,28,12,0,51,48,34,0
541,Andreas Christensen,dk DEN,DF,DF,Barcelona,es La Liga,29,1996,4.5,2,0,0,6,3,0,0,2,3,0
542,Oliver Christensen,dk DEN,GK,GK,Fiorentina,it Serie A,26,1999,1,0,0,0,0,1,0,0,0,0,0
543,Ryan Christie,sct SCO,MF,MF,Bournemouth,eng Premier League,30,1995,11,3,1,0,16,22,1,17,11,20,0
544,Carney Chukwuemeka,at AUT,MFFW,MF,Dortmund,de Bundesliga,21,2003,10.2,2,0,0,11,15,0,1,6,15,0
545,Samuel Chukwueze,ng NGA,FWMF,FW,Milan,it Serie A,26,1999,0.3,0,0,0,0,3,0,3,0,0,0
546,Samuel Chukwueze,ng NGA,MF,MF,Fulham,eng Premier League,26,1999,12,0,0,0,5,12,3,43,6,4,0
547,Víctor Chust,es ESP,DF,DF,Elche,es La Liga,25,2000,24.1,8,1,1,38,10,1,36,20,35,0
548,Alessandro Circati,au AUS,DF,DF,Parma,it Serie A,21,2003,29.6,6,0,0,30,18,0,5,27,25,0
549,Dennis Cirkin,lv LVA,DF,DF,Sunderland,eng Premier League,23,2002,3.6,2,0,0,4,2,0,3,5,5,0
550,Pathé Ciss,sn SEN,MFDF,MF,Rayo Vallecano,es La Liga,31,1994,22.2,9,2,0,30,13,2,1,35,35,0
551,Amadou Cissé,gn GUI,DF,DF,Strasbourg,fr Ligue 1,19,2006,1,0,0,0,3,0,0,0,0,2,0
552,Djaoui Cissé,fr FRA,MF,MF,Rennes,fr Ligue 1,21,2004,10.9,3,0,0,18,10,0,27,5,22,0
553,Mamoudou Cissokho,fr FRA,FW,FW,Auxerre,fr Ligue 1,17,2007,0,0,0,0,0,1,0,0,0,0,0
554,Alexis Claude-Maurice,fr FRA,MFFW,MF,Augsburg,de Bundesliga,27,1998,23.3,3,0,0,23,42,1,65,8,26,0
555,Jonathan Clauss,fr FRA,MFDF,MF,Nice,fr Ligue 1,32,1992,28.1,0,0,0,22,17,1,223,47,38,0
556,Nathaniel Clyne,eng ENG,MFDF,MF,Crystal Palace,eng Premier League,34,1991,6.6,1,0,0,4,2,0,15,7,9,0
557,Matteo Cocchi,it ITA,DF,DF,Inter,it Serie A,18,2007,0.2,0,0,0,0,0,0,0,0,0,0
558,Saúl Coco,gq EQG,DF,DF,Torino,it Serie A,26,1999,34.3,3,0,0,46,34,0,5,41,34,0
559,Séamus Coleman,ie IRL,DF,DF,Everton,eng Premier League,36,1988,0.2,0,0,0,0,1,0,3,0,0,0
560,Maxime Colin,fr FRA,DF,DF,Metz,fr Ligue 1,33,1991,18.8,1,0,0,10,7,0,12,24,30,0
561,Nathan Collins,ie IRL,DF,DF,Brentford,eng Premier League,24,2001,33.1,7,0,0,20,17,2,1,36,13,1
562,Nnamdi Collins,de GER,DF,DF,Frankfurt,de Bundesliga,21,2004,16.7,4,0,0,22,19,0,4,24,38,0
563,Michele Collocolo,it ITA,MF,MF,Cremonese,it Serie A,25,1999,4,1,0,0,2,2,0,5,1,3,0
564,Santiago Colombatto,ar ARG,MF,MF,Oviedo,es La Liga,28,1997,22.9,6,0,0,44,41,1,67,14,22,0
565,Lorenzo Colombo,it ITA,FW,FW,Genoa,it Serie A,23,2002,25.8,2,0,0,41,55,3,16,1,12,0
566,Levi Colwill,eng ENG,DF,DF,Chelsea,eng Premier League,22,2003,2.5,0,0,0,1,2,0,1,5,2,0
567,Eray Cömert,ch SUI,DF,DF,Valencia,es La Liga,27,1998,14.9,3,1,0,9,13,1,1,21,14,0
568,Santi Comesaña,es ESP,MF,MF,Villarreal,es La Liga,28,1996,26.7,5,1,0,43,28,1,12,31,25,0
569,Pietro Comuzzo,it ITA,DF,DF,Fiorentina,it Serie A,20,2005,18.8,2,0,0,24,4,0,1,24,16,1
570,Francisco Conceição,pt POR,MFFW,MF,Juventus,it Serie A,22,2002,23.1,3,0,0,32,40,3,92,7,26,0
571,Christian Conteh,de GER,MFFW,MF,Heidenheim,de Bundesliga,25,1999,4.5,0,0,0,4,3,1,10,1,1,0
572,Sirlord Conteh,de GER,MFFW,MF,Heidenheim,de Bundesliga,29,1996,6.9,1,0,0,7,10,8,17,4,7,0
573,Nikita Contini,it ITA,GK,GK,Napoli,it Serie A,29,1996,0.1,0,0,0,0,0,0,0,0,0,0
574,Lewis Cook,eng ENG,MFDF,MF,Bournemouth,eng Premier League,28,1997,9.7,1,1,0,8,5,0,44,21,17,0
575,Copete,es ESP,DF,DF,Valencia,es La Liga,25,1999,19.5,5,0,0,20,11,2,4,25,15,1
576,Diego Coppola,it ITA,DF,DF,Paris FC,fr Ligue 1,21,2003,13,1,0,0,6,3,0,0,7,9,1
577,Diego Coppola,it ITA,DF,DF,Brighton,eng Premier League,21,2003,2.2,2,0,0,4,0,0,0,1,2,0
578,Francesco Coppola,it ITA,DF,DF,Pisa,it Serie A,20,2005,5.1,3,0,0,7,8,0,2,5,5,0
579,Francis Coquelin,fr FRA,MF,MF,Nantes,fr Ligue 1,34,1991,7.3,2,0,0,15,7,0,1,5,13,0
580,Derek Cornelius,ca CAN,DFFW,DF,Marseille,fr Ligue 1,27,1997,0.6,0,0,0,0,2,0,0,1,0,0
581,Maxwel Cornet,ci CIV,MF,MF,Genoa,it Serie A,28,1996,1.3,0,0,0,6,1,1,13,0,4,0
582,Iván Corralejo,es ESP,MF,MF,Real Betis,es La Liga,18,2007,0.2,0,0,0,1,1,0,0,0,0,0
583,Félix Correia,pt POR,MF,MF,Lille,fr Ligue 1,24,2001,22.8,2,0,0,14,28,3,84,21,13,0
584,Thierry Correia,pt POR,DFMF,DF,Valencia,es La Liga,26,1999,15.5,5,0,0,28,25,4,42,18,22,0
585,Alvaro Cortes,es ESP,DF,DF,Barcelona,es La Liga,20,2005,1,0,0,0,0,1,0,0,1,1,0
586,Paco Cortés,es ESP,MFFW,MF,Levante,es La Liga,17,2007,5.2,2,0,0,6,6,1,20,2,1,0
587,Edoardo Corvi,it ITA,GK,GK,Parma,it Serie A,24,2001,17,1,0,0,0,5,0,0,0,0,0
588,Coba da Costa,es ESP,MF,MF,Getafe,es La Liga,23,2002,3.9,1,0,0,7,6,2,23,0,6,0
589,Danny da Costa,de GER,DFMF,DF,Mainz 05,de Bundesliga,32,1993,29.9,3,0,0,22,24,1,48,29,27,1
590,Logan Costa,cv CPV,DF,DF,Villarreal,es La Liga,24,2001,0.3,0,0,0,1,0,0,0,0,0,0
591,Samu Costa,pt POR,MF,MF,Mallorca,es La Liga,24,2000,30,11,0,0,64,68,6,30,26,37,0
592,David Costas,es ESP,DF,DF,Oviedo,es La Liga,30,1995,23,3,0,0,16,10,3,1,27,22,0
593,Grégoire Coudert,fr FRA,GK,GK,Brest,fr Ligue 1,26,1999,24.4,2,0,0,1,8,0,0,0,0,0
594,Vladimír Coufal,cz CZE,DFMF,DF,Hoffenheim,de Bundesliga,32,1992,33.5,4,0,0,32,42,1,209,39,35,0
595,Abdoul Coulibaly,de GER,DF,DF,Werder Bremen,de Bundesliga,18,2007,23.6,5,1,1,18,9,1,13,24,14,1
596,Djibril Coulibaly,fr FRA,MF,MF,Nice,fr Ligue 1,16,2008,0.1,0,0,0,1,0,0,0,0,0,0
597,Lassana Coulibaly,ml MLI,MF,MF,Lecce,it Serie A,29,1996,29.9,4,0,0,34,52,1,18,9,28,0
598,Lasso Coulibaly,ci CIV,MF,MF,Auxerre,fr Ligue 1,22,2002,3.6,1,0,0,10,11,2,18,6,5,0
599,Mamadou Coulibaly,fr FRA,MF,MF,Monaco,fr Ligue 1,21,2004,15.3,7,1,0,31,16,3,15,21,21,0
600,Soumaïla Coulibaly,fr FRA,DF,DF,Brest,fr Ligue 1,21,2003,14.9,3,0,0,26,20,1,1,13,12,1
601,Woyo Coulibaly,ml MLI,DF,DF,Sassuolo,it Serie A,26,1999,11.7,2,0,0,15,12,0,10,10,14,0
602,Marius Courcoul,fr FRA,MF,MF,Angers,fr Ligue 1,18,2007,4.2,0,0,0,6,3,0,0,3,9,0
603,Thibaut Courtois,be BEL,GK,GK,Real Madrid,es La Liga,33,1992,32,1,0,0,1,2,0,0,0,1,0
604,Yan Couto,br BRA,MF,MF,Dortmund,de Bundesliga,23,2002,11.1,4,0,0,17,13,2,54,9,15,0
605,Patrice Čović,hr CRO,MF,MF,Werder Bremen,de Bundesliga,18,2007,3.9,1,0,0,6,2,0,7,4,6,0
606,Nicolas Cozza,fr FRA,DF,DF,Nantes,fr Ligue 1,26,1999,25.6,2,0,0,23,31,0,22,21,27,0
607,Ben Cremaschi,us USA,MF,MF,Parma,it Serie A,20,2005,1.5,0,0,0,2,0,0,6,0,1,0
608,Charlie Cresswell,eng ENG,DF,DF,Toulouse,fr Ligue 1,22,2002,28.1,8,0,0,31,15,4,2,30,14,0
609,Bryan Cristante,it ITA,MF,MF,Roma,it Serie A,30,1995,34.4,6,0,0,63,9,0,19,28,43,0
610,Juan Cruz Armada,es ESP,DF,DF,Osasuna,es La Liga,33,1992,7.2,2,0,0,4,2,0,5,4,3,0
611,Juan Cuadrado,co COL,MF,MF,Pisa,it Serie A,37,1988,5.6,3,0,0,9,16,0,45,5,10,0
612,Pau Cubarsí,es ESP,DF,DF,Barcelona,es La Liga,18,2007,30,3,0,0,25,9,0,0,30,28,0
613,Miguel Cubo,es ESP,FW,FW,Atlético Madrid,es La Liga,17,2008,0.6,0,0,0,1,3,0,0,0,2,0
614,Cucho,co COL,FW,FW,Real Betis,es La Liga,26,1999,28.7,5,0,0,22,38,17,23,11,16,0
615,Marc Cucurella,es ESP,DF,DF,Chelsea,eng Premier League,27,1998,30.1,8,1,0,45,29,5,41,28,40,0
616,Jorge Cuenca,es ESP,DF,DF,Fulham,eng Premier League,25,1999,10.4,6,0,0,10,1,1,2,15,10,0
617,Montrell Culbreath,de GER,MFDF,MF,Leverkusen,de Bundesliga,17,2007,8.2,0,0,0,5,11,0,24,8,16,0
618,Josh Cullen,ie IRL,MF,MF,Burnley,eng Premier League,29,1996,16.8,2,0,0,16,18,0,12,24,19,1
619,Pablo Cuñat,es ESP,GK,GK,Levante,es La Liga,23,2002,2,0,0,0,0,0,0,0,0,0,0
620,Jair Cunha,br BRA,DF,DF,Nottingham,eng Premier League,20,2005,5.7,0,0,0,0,6,0,2,5,5,0
621,Matheus Cunha,br BRA,MFFW,MF,Manchester Utd,eng Premier League,26,1999,27.7,4,0,0,28,54,2,49,21,23,0
622,Patrick Cutrone,it ITA,FW,FW,Parma,it Serie A,27,1998,9.9,0,0,0,7,16,8,12,3,1,0
623,Lucas Da Cunha,fr FRA,MF,MF,Como,it Serie A,24,2001,30.4,4,0,0,34,19,1,99,18,33,0
624,Adam Daghim,dk DEN,MFFW,MF,Wolfsburg,de Bundesliga,19,2005,15.2,3,0,0,18,23,4,20,11,20,0
625,Finn Dahmen,de GER,GK,GK,Augsburg,de Bundesliga,27,1998,34,1,0,0,0,9,0,0,0,0,0
626,Mahmoud Dahoud,de GER,MFFW,MF,Frankfurt,de Bundesliga,29,1996,8,0,0,0,16,2,0,8,10,8,0
627,David Daiber,pt POR,FW,FW,Bayern Munich,de Bundesliga,18,2007,0.3,0,0,0,2,0,0,0,0,0,0
628,Ameen Al-Dakhil,be BEL,DF,DF,Stuttgart,de Bundesliga,23,2002,4.2,1,0,0,1,0,0,0,5,3,0
629,Thijs Dallinga,nl NED,FW,FW,Bologna,it Serie A,24,2000,9,2,0,0,20,9,4,5,1,4,0
630,Diogo Dalot,pt POR,DFMF,DF,Manchester Utd,eng Premier League,26,1999,29,5,0,0,25,14,4,57,26,30,0
631,Muhammed Damar,de GER,MFFW,MF,Hoffenheim,de Bundesliga,21,2004,3.1,0,0,0,4,2,1,33,1,3,0
632,Damián,es ESP,MF,MF,Getafe,es La Liga,22,2003,1.7,0,0,0,4,0,0,0,3,4,0
633,Mikkel Damsgaard,dk DEN,MF,MF,Brentford,eng Premier League,25,2000,22.8,0,0,0,18,23,4,95,24,34,0
634,Arnaut Danjuma,nl NED,MFFW,MF,Valencia,es La Liga,28,1997,18.1,0,0,0,21,22,5,49,2,10,0
635,Kévin Danois,fr FRA,MF,MF,Auxerre,fr Ligue 1,21,2004,31.4,3,0,0,33,26,3,130,38,48,0
636,Kevin Danso,at AUT,DF,DF,Tottenham,eng Premier League,26,1998,16.6,8,0,0,21,13,0,7,25,13,0
637,Dante,br BRA,DF,DF,Nice,fr Ligue 1,41,1983,9.4,1,0,0,9,4,1,0,11,5,0
638,Bence Dárdai,hu HUN,MF,MF,Wolfsburg,de Bundesliga,19,2006,0.4,0,0,0,1,0,0,0,1,1,0
639,Aiman Dardari,lu LUX,MF,MF,Augsburg,de Bundesliga,20,2005,0.4,1,0,0,1,1,0,0,0,0,0
640,Sergi Darder,es ESP,MF,MF,Mallorca,es La Liga,31,1993,29.8,3,0,0,21,29,2,165,23,13,0
641,Karl Darlow,wls WAL,GK,GK,Leeds United,eng Premier League,34,1990,22,1,0,0,0,7,0,0,0,0,0
642,Matteo Darmian,it ITA,MFDF,MF,Inter,it Serie A,35,1989,2.8,0,0,0,4,2,1,5,1,3,0
643,Josh Dasilva,eng ENG,MF,MF,Brentford,eng Premier League,26,1998,0,0,0,0,0,0,0,0,0,0,0
644,David Datro Fofana,ci CIV,FW,FW,Strasbourg,fr Ligue 1,22,2002,1.9,0,0,0,3,1,3,0,1,1,0
645,Juan David Cabal,co COL,MF,MF,Juventus,it Serie A,24,2001,3.3,1,0,0,4,1,2,4,4,5,0
646,Jonathan David,ca CAN,FW,FW,Juventus,it Serie A,25,2000,19.8,0,0,0,30,26,11,8,6,10,0
647,Alphonso Davies,ca CAN,DF,DF,Bayern Munich,de Bundesliga,24,2000,5.8,1,0,0,2,5,0,6,3,6,0
648,Ben Davies,wls WAL,DF,DF,Tottenham,eng Premier League,32,1993,1.5,1,0,0,2,0,0,3,1,4,0
649,Davinchi,es ESP,DF,DF,Getafe,es La Liga,17,2007,7.8,2,0,0,27,2,0,20,7,17,0
650,Keinan Davis,eng ENG,FW,FW,Udinese,it Serie A,27,1998,22.9,5,0,0,41,47,10,5,1,5,0
651,Kevin De Bruyne,be BEL,MF,MF,Napoli,it Serie A,34,1991,12.9,1,0,0,8,6,4,58,5,8,0
652,Mathys De Carvalho,fr FRA,MF,MF,Lyon,fr Ligue 1,20,2005,3.3,1,0,0,2,5,0,2,4,6,0
653,Maxim De Cuyper,be BEL,DFMF,DF,Brighton,eng Premier League,24,2000,15.7,2,0,0,18,21,1,77,11,10,0
654,Charles De Ketelaere,be BEL,MFFW,MF,Atalanta,it Serie A,24,2001,24.2,4,0,0,23,36,3,46,5,15,0
655,Jeffrey De Lange,nl NED,GK,GK,Marseille,fr Ligue 1,27,1998,5,0,0,0,0,0,0,0,0,0,0
656,Manuel De Luca,it ITA,FW,FW,Cremonese,it Serie A,27,1998,0.2,0,0,0,1,1,0,0,0,0,0
657,Théo De Percin,mq MTQ,GK,GK,Auxerre,fr Ligue 1,24,2001,6.6,0,0,0,0,1,0,0,0,0,0
658,Lorenzo De Silvestri,it ITA,DF,DF,Bologna,it Serie A,37,1988,5.5,2,0,0,9,3,0,7,7,1,0
659,Thibault De Smet,be BEL,DF,DF,Paris FC,fr Ligue 1,27,1998,12.7,6,2,2,11,13,1,26,10,11,0
660,Koni De Winter,be BEL,DF,DF,Milan,it Serie A,23,2002,20,1,0,0,27,8,1,5,13,19,0
661,Alessandro Deiola,it ITA,MFDF,MF,Cagliari,it Serie A,29,1995,15.9,3,0,0,22,11,7,2,13,20,0
662,Romain Del Castillo,fr FRA,MFFW,MF,Brest,fr Ligue 1,29,1996,29.2,2,1,0,28,43,5,198,28,36,0
663,Thomas Delaine,fr FRA,MFDF,MF,Le Havre,fr Ligue 1,33,1992,2.2,1,0,0,2,1,0,18,3,0,0
664,Liam Delap,eng ENG,FW,FW,Chelsea,eng Premier League,22,2003,12.3,4,0,0,25,19,5,6,1,3,0
665,Fisayo Dele-Bashiru,ng NGA,MF,MF,Lazio,it Serie A,24,2001,13.2,0,0,0,8,3,2,10,4,15,0
666,Enrico Delprato,it ITA,DFMF,DF,Parma,it Serie A,25,1999,32.8,5,0,0,16,10,6,19,24,21,0
667,Olivier Deman,be BEL,DFMF,DF,Werder Bremen,de Bundesliga,25,2000,13.9,3,0,0,19,12,3,63,10,26,0
668,Pape Demba Diop,sn SEN,MF,MF,Toulouse,fr Ligue 1,21,2003,13.1,2,0,0,15,17,0,14,29,20,0
669,Ali Dembélé,fr FRA,DF,DF,Torino,it Serie A,21,2004,0.2,0,0,0,0,0,0,0,0,0,0
670,Ousmane Dembélé,fr FRA,FW,FW,PSG,fr Ligue 1,28,1997,11.8,0,0,0,3,4,8,49,0,3,0
671,Jessy Deminguet,fr FRA,MF,MF,Metz,fr Ligue 1,27,1998,22.2,4,0,0,28,32,0,19,22,21,0
672,Ermedin Demirović,ba BIH,FW,FW,Stuttgart,de Bundesliga,27,1998,16.6,5,0,0,37,26,8,1,2,10,0
673,Rav van den Berg,nl NED,DF,DF,Köln,de Bundesliga,21,2004,12.6,0,1,0,10,3,1,1,14,8,0
674,Sepp van den Berg,nl NED,DF,DF,Brentford,eng Premier League,23,2001,30.7,2,0,0,15,11,0,0,26,9,0
675,Branco van den Boomen,nl NED,MF,MF,Angers,fr Ligue 1,30,1995,13.8,3,0,0,19,9,0,69,7,15,0
676,Leander Dendoncker,be BEL,MF,MF,Oviedo,es La Liga,30,1995,14.8,2,0,0,12,3,1,5,11,25,0
677,Daniel Denoon,ch SUI,DF,DF,Pisa,it Serie A,21,2004,1.4,1,0,0,4,3,0,0,1,2,0
678,Nelson Deossa,co COL,MF,MF,Real Betis,es La Liga,25,2000,8.3,3,0,0,17,24,1,7,6,8,0
679,Jesse Derry,eng ENG,MF,MF,Chelsea,eng Premier League,18,2007,0.5,0,0,0,0,1,0,2,0,1,0
680,Rémy Descamps,fr FRA,GK,GK,Lyon,fr Ligue 1,29,1996,5,0,0,0,0,0,0,0,0,0,1
681,Bahmed Deuff,mr MTN,MF,MF,Nantes,fr Ligue 1,19,2006,2.8,1,0,0,6,3,0,1,2,3,0
682,Justin Devenny,nir NIR,MFFW,MF,Crystal Palace,eng Premier League,21,2003,8.8,0,0,0,11,10,1,17,1,11,0
683,Tidiane Devernois,fr FRA,MF,MF,Auxerre,fr Ligue 1,17,2007,0.1,0,0,0,0,0,0,3,0,0,0
684,Kiernan Dewsbury-Hall,eng ENG,MF,MF,Everton,eng Premier League,26,1998,29.2,6,0,0,32,48,2,112,14,26,0
685,Raffaele Di Gennaro,it ITA,GK,GK,Inter,it Serie A,31,1993,0.1,0,0,0,0,0,0,0,0,0,0
686,Michele Di Gregorio,it ITA,GK,GK,Juventus,it Serie A,28,1997,29.5,1,0,0,0,5,0,0,0,0,0
687,Giovanni Di Lorenzo,it ITA,DFMF,DF,Napoli,it Serie A,31,1993,25.3,1,0,0,33,23,1,38,9,26,0
688,Alessandro Di Pardo,it ITA,DFMF,DF,Cagliari,it Serie A,26,1999,0.6,0,0,0,0,1,0,0,0,1,0
689,Boulaye Dia,sn SEN,FWMF,FW,Lazio,it Serie A,28,1996,13.9,1,0,0,19,14,4,0,3,7,0
690,Ibrahim Diabaté,ci CIV,FW,FW,Alavés,es La Liga,25,1999,6.4,1,0,0,6,5,3,0,2,1,0
691,Bambo Diaby,sn SEN,DF,DF,Elche,es La Liga,27,1997,1.1,1,0,0,3,3,0,0,1,0,0
692,Mouctar Diakhaby,gn GUI,DF,DF,Valencia,es La Liga,28,1996,6,3,0,0,7,3,1,0,9,6,0
693,Bafodé Diakité,fr FRA,DF,DF,Bournemouth,eng Premier League,24,2001,14.2,1,0,0,8,4,2,1,10,15,0
694,Amad Diallo,ci CIV,MF,MF,Manchester Utd,eng Premier League,23,2002,26,2,0,0,24,38,12,46,15,23,0
695,Habib Diallo,sn SEN,FW,FW,Metz,fr Ligue 1,30,1995,21.2,0,0,0,27,29,11,4,2,5,0
696,Zoumana Diallo,fr FRA,FW,FW,Nice,fr Ligue 1,20,2005,0.1,0,0,0,2,1,0,0,0,0,0
697,Grady Diangana,cd COD,MFFW,MF,Elche,es La Liga,27,1998,10.3,3,0,0,15,19,5,12,4,6,0
698,Assane Diao,sn SEN,MF,MF,Como,it Serie A,19,2005,11.9,2,0,0,15,39,3,27,4,5,0
699,Soriba Diaoune,fr FRA,MF,MF,Lille,fr Ligue 1,17,2007,2.1,0,0,0,5,3,0,5,1,2,0
700,Habib Diarra,sn SEN,MF,MF,Sunderland,eng Premier League,21,2004,15.6,6,0,0,19,27,3,32,4,7,0
701,Moussa Diarra,ml MLI,DF,DF,Alavés,es La Liga,24,2000,2.4,1,0,0,4,1,0,1,1,2,0
702,Rúben Dias,pt POR,DF,DF,Manchester City,eng Premier League,28,1997,23.8,3,0,0,15,9,0,9,23,6,0
703,Alassane Diatta,sn SEN,MF,MF,Villarreal,es La Liga,20,2005,0.3,0,0,0,0,0,0,0,0,0,0
704,Bane Diatta,fr FRA,MF,MF,Angers,fr Ligue 1,17,2008,0.1,0,0,0,0,0,0,0,0,1,0
705,Krépin Diatta,sn SEN,MFDF,MF,Monaco,fr Ligue 1,26,1999,11.3,2,0,0,8,10,4,39,15,16,0
706,Mory Diaw,sn SEN,GK,GK,Le Havre,fr Ligue 1,32,1993,29.5,1,0,0,0,6,0,0,2,0,0
707,Brahim Díaz,ma MAR,FWMF,FW,Real Madrid,es La Liga,25,1999,14,2,0,0,19,37,3,20,2,10,0
708,Daniel Díaz,es ESP,FW,FW,Real Sociedad,es La Liga,19,2006,0.2,0,0,0,0,0,0,1,0,0,0
709,Julio Diaz,es ESP,DF,DF,Atlético Madrid,es La Liga,20,2005,3.4,2,0,0,4,3,1,6,4,3,0
710,Junior Diaz,ci CIV,DF,DF,Brest,fr Ligue 1,22,2003,17.4,4,0,0,8,11,0,1,25,18,0
711,Luis Díaz,co COL,MF,MF,Bayern Munich,de Bundesliga,28,1997,27.2,7,1,1,35,38,26,45,17,13,0
712,Pedro Díaz,es ESP,MF,MF,Rayo Vallecano,es La Liga,27,1998,20.8,2,0,0,20,13,0,38,9,25,0
713,Tyler Dibling,eng ENG,MF,MF,Everton,eng Premier League,19,2006,4,2,0,0,11,11,0,7,6,3,0
714,Nouha Dicko,ml MLI,FWMF,FW,Paris FC,fr Ligue 1,33,1992,0.8,0,0,0,4,4,2,2,0,0,0
715,Yaya Diémé,sn SEN,FW,FW,Strasbourg,fr Ligue 1,17,2007,1.7,2,0,0,4,1,1,1,0,0,0
716,Bamba Dieng,sn SEN,FW,FW,Lorient,fr Ligue 1,25,2000,13.5,2,0,0,15,13,9,2,2,2,0
717,Eric Dier,eng ENG,DF,DF,Monaco,fr Ligue 1,31,1994,7.6,0,0,0,9,4,0,2,10,2,0
718,Lucas Digne,fr FRA,DF,DF,Aston Villa,eng Premier League,32,1993,20.6,3,0,0,14,12,3,108,13,26,0
719,Kevin Diks,id IDN,DF,DF,Gladbach,de Bundesliga,28,1996,27.4,6,0,0,15,22,1,5,24,30,0
720,Federico Dimarco,it ITA,MF,MF,Inter,it Serie A,27,1997,30,3,0,0,41,23,5,295,30,31,0
721,Stole Dimitrievski,mk MKD,GK,GK,Valencia,es La Liga,31,1993,20,1,0,0,0,4,0,0,1,0,0
722,Junior Dina Ebimbe,cm CMR,MF,MF,Brest,fr Ligue 1,24,2000,12.9,3,0,0,22,15,3,4,6,16,0
723,Eren Dinkçi,de GER,MFFW,MF,Heidenheim,de Bundesliga,23,2001,12.6,3,0,0,9,4,0,22,5,13,0
724,Eren Dinkçi,de GER,MF,MF,Freiburg,de Bundesliga,23,2001,2.8,1,0,0,2,1,0,10,4,4,0
725,Sinaly Diomande,ci CIV,DF,DF,Auxerre,fr Ligue 1,24,2001,23.7,4,1,1,31,26,2,0,33,17,0
726,Yan Diomandé,ci CIV,FWMF,FW,RB Leipzig,de Bundesliga,18,2006,27.5,2,0,0,19,34,7,45,16,19,0
727,Issa Diop,ma MAR,DF,DF,Fulham,eng Premier League,28,1997,9.1,2,0,0,9,3,0,1,6,2,0
728,Sérigné Diop,sn SEN,FW,FW,Brest,fr Ligue 1,20,2005,0.1,0,0,0,0,0,0,1,0,0,0
729,Sofiane Diop,ma MAR,MFFW,MF,Nice,fr Ligue 1,25,2000,23.7,5,0,0,22,46,7,37,18,9,0
730,Andy Diouf,fr FRA,MF,MF,Inter,it Serie A,22,2003,5.5,1,0,0,5,3,1,6,1,6,0
731,Andy Diouf,fr FRA,MF,MF,Lens,fr Ligue 1,22,2003,1,0,0,0,0,1,0,0,0,0,0
732,El Hadji Malick Diouf,sn SEN,DFMF,DF,West Ham,eng Premier League,20,2004,30.1,6,0,0,28,25,2,109,32,19,0
733,Yehvann Diouf,sn SEN,GK,GK,Nice,fr Ligue 1,25,1999,26,1,0,0,0,4,0,0,2,0,0
734,Assane Dioussé,sn SEN,MF,MF,Auxerre,fr Ligue 1,27,1997,2.4,3,0,0,7,3,0,6,6,1,0
735,Axel Disasi,fr FRA,DF,DF,West Ham,eng Premier League,27,1998,13.9,1,0,0,5,4,1,0,12,10,1
736,Matías Dituro,ar ARG,GK,GK,Elche,es La Liga,38,1987,22,1,0,0,0,7,0,0,1,0,0
737,Djené,tg TOG,DFMF,DF,Getafe,es La Liga,33,1991,28.6,10,2,0,35,26,0,11,38,24,0
738,Harouna Djibrin,cm CMR,MF,MF,Angers,fr Ligue 1,18,2006,3.7,2,0,0,9,8,0,8,5,4,0
