Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
464,Antonio Caracciolo,it ITA,DF,DF,Pisa,it Serie A,35,1990,34.1,10,0,0,41,11,2,3,57,44,1
465,Filippo Carbone,it ITA,MF,MF,Genoa,it Serie A,18,2006,0.1,0,0,0,0,1,0,0,0,3,0
466,Franco Carboni,it ITA,MF,MF,Parma,it Serie A,22,2003,1.3,0,0,0,3,0,0,3,2,1,0
467,Valentin Carboni,ar ARG,MF,MF,Genoa,it Serie A,20,2005,4,2,0,0,11,5,0,7,2,8,0
468,Dani Cárdenas,es ESP,GK,GK,Rayo Vallecano,es La Liga,28,1997,4,0,0,0,0,0,0,0,0,1,0
469,Alessandro Cardinali,it ITA,FW,FW,Parma,it Serie A,19,2006,0.5,0,0,0,0,0,0,1,0,0,0
470,Rio Cardines,tt TRI,MF,MF,Crystal Palace,eng Premier League,19,2006,1,0,0,0,0,1,0,3,0,1,0
471,Sergi Cardona,es ESP,DF,DF,Villarreal,es La Liga,26,1999,21.9,4,0,0,28,23,1,75,37,31,0
472,Fábio Cardoso,pt POR,DF,DF,Sevilla,es La Liga,31,1994,3.3,0,0,0,9,1,0,0,4,3,0
473,Johnny Cardoso,us USA,MF,MF,Atlético Madrid,es La Liga,23,2001,9.9,5,0,0,23,14,0,3,16,21,0
474,Maycon Cardozo,br BRA,MF,MF,Bayern Munich,de Bundesliga,16,2008,0.4,0,0,0,0,2,0,1,0,0,0
475,Igor Carioca,br BRA,DF,DF,Lorient,fr Ligue 1,28,1996,13.5,1,0,0,9,18,1,21,13,19,0
476,Patrik Carlgren,se SWE,GK,GK,Nantes,fr Ligue 1,33,1992,2,0,0,0,0,1,0,0,0,0,0
477,Diego Carlos,br BRA,DF,DF,Como,it Serie A,32,1993,21.7,8,0,0,39,7,2,2,22,18,0
478,Kevin Carlos,es ESP,FW,FW,Nice,fr Ligue 1,24,2001,9.8,3,0,0,29,16,5,3,1,1,0
479,David Carmo,ao ANG,DF,DF,Oviedo,es La Liga,26,1999,19.8,8,1,1,20,4,0,2,21,18,0
480,Carmona,es ESP,DFMF,DF,Sevilla,es La Liga,23,2002,28.5,13,0,0,49,44,3,48,45,40,0
481,Marco Carnesecchi,it ITA,GK,GK,Atalanta,it Serie A,25,2000,37,0,0,0,1,6,0,1,0,0,0
482,Sergio Carreira,es ESP,MF,MF,Celta Vigo,es La Liga,24,2000,29.9,2,0,0,20,36,2,32,27,18,0
483,Gorka Carrera,es ESP,FW,FW,Real Sociedad,es La Liga,20,2005,0.7,1,0,0,2,2,0,0,1,0,0
484,Álvaro Carreras,es ESP,DF,DF,Real Madrid,es La Liga,22,2003,25.9,5,1,0,22,33,5,30,38,18,0
485,Dani Carvajal,es ESP,DF,DF,Real Madrid,es La Liga,33,1992,10.9,0,0,0,7,9,0,11,6,12,0
